http://cloc.sourceforge.net v 1.60  T=1.26 s (236.2 files/s, 34733.3 lines/s)
-------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                          blank        comment           code
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\landscapetasks\CreatePlayer.as                             9             16             47
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\package-detail.html                                         0              7             47
C:\dev\VoxelVerse\src\com\voxelengine\pools\GrainCursorPool.as                                                   13              7             46
C:\dev\VoxelVerse\src\com\voxelengine\pools\NeighborPool.as                                                      12              7             46
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\PositionTest.as                                                 10              4             46
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\landscapetasks\GenerateLavaPockets.as                     14             50             46
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\landscapetasks\CarveTunnels.as                            16             52             45
C:\dev\VoxelVerse\src\com\voxelengine\pools\VertexIndexBuilderPool.as                                            12              7             45
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\tests\TestSolid.as                                        10             19             45
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\tests\TestFlowRemoveSequential.as                          8             14             45
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\landscapetasks\GenerateCube.as                             9             18             45
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\CollisionPoint.as                                               10              4             44
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\tests\TestQuarterSphere.as                                 8             12             44
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\Engine.as                                                       18             94             44
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\all-index-Y.html                                            0              7             43
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\all-index-L.html                                            0              7             43
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\tests\TestWater.as                                        17             75             43
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\all-index-H.html                                            0              7             43
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\all-index-K.html                                            0              7             43
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\all-index-V.html                                            0              7             43
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\all-index-O.html                                            0              7             43
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\all-index-J.html                                            0              7             43
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\all-index-Q.html                                            0              7             43
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\all-index-X.html                                            0              7             43
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\all-index-A.html                                            0              7             43
C:\dev\VoxelVerse\src\com\voxelengine\pools\QuadPool.as                                                          12              7             42
C:\dev\VoxelVerse\src\com\voxelengine\utils\Snow.as                                                               7             13             42
C:\dev\VoxelVerse\src\com\voxelengine\pools\ChildOxelPool.as                                                     12              7             42
C:\dev\VoxelVerse\src\com\voxelengine\pools\QuadsPool.as                                                         12              7             42
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\landscapetasks\GenerateSphere.as                           8             32             41
C:\dev\VoxelVerse\src\com\voxelengine\GUI\WindowNotHardware.as                                                   12              2             41
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\nochump\util\zip\class-list.html                            0              1             41
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\Camera.as                                                        9             15             41
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\package-summary.html                                        0              7             41
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\CameraLocation.as                                               11             12             40
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\landscapetasks\DynamicCompletedModel.as                    8             15             40
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\tests\TestFlowRemove.as                                    9             13             39
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\ModelLibrary.as                                                  6              8             39
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\cookies.js                                                  3             31             39
C:\dev\VoxelVerse\src\com\voxelengine\GUI\WindowModeChoice.as                                                     7              1             39
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\all-classes.html                                            0              1             38
C:\dev\VoxelVerse\src\com\voxelengine\GUI\WindowWarning.as                                                       10              1             38
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\appendixes.html                                             0              7             38
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\landscapetasks\CompletedGroup.as                           9             14             38
C:\dev\VoxelVerse\src\com\voxelengine\events\RegionEvent.as                                                      11             14             38
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\scripts\AutoFireProjectileScript.as                              8              6             38
C:\dev\VoxelVerse\src\com\voxelengine\utils\Fire.as                                                               5              1             37
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\landscapetasks\LoadFromTox.as                              8             12             37
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\Deflater.as                                                      14             50             37
C:\dev\VoxelVerse\src\com\voxelengine\GUI\WindowQuest.as                                                          9              3             36
C:\dev\VoxelVerse\src\com\voxelengine\GUI\layerDataComponents\LayerData.as                                        7              3             36
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\tests\TestSingleOxelFaces.as                               7             13             35
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\landscapetasks\GrowTreesOnAnything.as                      7             12             35
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\landscapetasks\GrowTreesOn.as                              8             12             35
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\landscapetasks\LoadFromByteArray.as                        8             16             35
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\landscapetasks\DirtToGrassAndSand.as                       8             12             34
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\landscapetasks\GenerateGrassAndTrees.as                    8             12             34
C:\dev\VoxelVerse\src\com\voxelengine\renderer\shaders\ShaderSky.as                                               6             15             34
C:\dev\VoxelVerse\src\com\voxelengine\events\ExplosionEvent.as                                                    7             12             33
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\tests\TestDebugMacro.as                                    9             17             33
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\title-bar.html                                             20              2             33
C:\dev\VoxelVerse\src\com\voxelengine\utils\transitions\AuxFunctions.as                                           7             37             33
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\CRC32.as                                                         13             41             32
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\flowtasks\DirtToGrass.as                                  11             12             32
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\LoadSky.as                                                 7             12             32
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\tests\TestGrain0inCenter.as                                8             22             31
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\tests\TestLibrary.as                                       6             14             31
